aX,aY,aZ
-0.827,0.028,0.522
-0.819,0.015,0.516
-0.810,0.021,0.524
-0.803,0.024,0.529
-0.800,0.027,0.535
-0.806,0.036,0.540
-0.810,0.045,0.548
-0.817,0.045,0.559
-0.815,0.050,0.564
-0.813,0.052,0.574
-0.819,0.053,0.588
-0.820,0.050,0.591
-0.818,0.060,0.599
-0.826,0.065,0.605
-0.836,0.076,0.619
-0.843,0.081,0.630
-0.852,0.089,0.636
-0.854,0.097,0.649
-0.860,0.103,0.664
-0.873,0.116,0.671
-0.877,0.124,0.673
-0.893,0.128,0.665
-0.893,0.127,0.667
-0.893,0.125,0.671
-0.895,0.126,0.672
-0.898,0.122,0.668
-0.902,0.120,0.665
-0.899,0.117,0.664
-0.895,0.112,0.665
-0.890,0.108,0.668
-0.891,0.102,0.667
-0.890,0.090,0.659
-0.889,0.084,0.659
-0.888,0.079,0.655
-0.890,0.081,0.659
-0.887,0.080,0.659
-0.888,0.088,0.662
-0.898,0.085,0.659
-0.897,0.088,0.658
-0.899,0.088,0.658
-0.900,0.086,0.658
-0.899,0.086,0.656
-0.898,0.080,0.650
-0.894,0.079,0.647
-0.890,0.077,0.641
-1.083,0.243,0.826
-1.057,0.260,0.884
-1.032,0.220,0.899
-0.964,0.174,0.830
-0.909,0.085,0.782
-0.897,0.041,0.674
-0.876,0.028,0.605
-0.847,0.014,0.586
-0.842,0.020,0.563
-0.836,0.026,0.557
-0.845,0.042,0.556
-0.849,0.050,0.560
-0.848,0.059,0.563
-0.841,0.069,0.563
-0.839,0.082,0.569
-0.838,0.086,0.569
-0.839,0.113,0.562
-0.851,0.125,0.551
-0.854,0.126,0.543
-0.855,0.122,0.536
-0.851,0.119,0.528
-0.838,0.110,0.523
-0.836,0.110,0.523
-0.833,0.102,0.522
-0.824,0.105,0.517
-0.826,0.110,0.515
-0.842,0.122,0.514
-0.847,0.124,0.508
-0.849,0.122,0.503
-0.850,0.116,0.499
-0.847,0.107,0.494
-0.845,0.101,0.494
-0.841,0.087,0.494
-0.840,0.080,0.489
-0.845,0.072,0.489
-0.844,0.062,0.494
-0.845,0.057,0.499
-0.845,0.055,0.501
-0.851,0.045,0.504
-0.847,0.041,0.510
-0.840,0.041,0.510
-0.839,0.034,0.504
-0.842,0.032,0.500
-0.841,0.028,0.499
-0.841,0.025,0.499
-0.838,0.020,0.495
-0.834,0.007,0.492
-0.832,-0.000,0.488
-0.833,0.001,0.488
-0.837,0.003,0.484
-0.834,0.007,0.484
-0.831,0.003,0.480
-0.831,-0.003,0.480
-0.833,-0.007,0.472
-0.833,-0.011,0.467
-0.842,-0.014,0.461
-0.846,-0.017,0.451
-0.855,-0.016,0.448
-0.863,-0.011,0.448
-0.870,-0.009,0.447
-0.876,-0.011,0.444
-0.877,-0.010,0.438
-0.883,-0.012,0.433
-0.893,-0.007,0.431
-0.916,0.033,0.463
-0.983,0.037,0.488
-0.970,0.068,0.507
-0.976,0.064,0.519
-0.980,0.064,0.521
-0.976,0.062,0.520
-0.976,0.054,0.513
-0.976,0.048,0.508
-0.969,0.042,0.486
-0.945,0.040,0.478
-0.945,0.030,0.474
-0.943,0.026,0.462
-0.938,0.028,0.452
-0.926,0.034,0.450
-0.923,0.038,0.443
-0.915,0.037,0.442
-0.915,0.037,0.438
-0.912,0.036,0.435
-0.910,0.033,0.434
-0.909,0.031,0.433
-0.902,0.030,0.437
-0.901,0.028,0.438
-0.901,0.032,0.446
-0.903,0.036,0.450
-0.903,0.036,0.456
-0.903,0.037,0.459
-0.905,0.033,0.462
-0.904,0.032,0.462
-0.901,0.031,0.460
-0.902,0.032,0.459
-0.895,0.029,0.458
-0.894,0.026,0.459
-0.892,0.024,0.459
-0.890,0.020,0.457
-0.890,0.020,0.454
-0.896,0.022,0.453
-0.898,0.028,0.449
-0.902,0.029,0.447
-0.905,0.036,0.450
-0.906,0.038,0.451
-0.908,0.042,0.449
-0.906,0.041,0.449
-0.905,0.040,0.445
-0.912,0.047,0.444
-0.915,0.053,0.439
-0.917,0.055,0.436
-0.922,0.062,0.433
-0.921,0.061,0.426
-0.915,0.061,0.419
-0.911,0.056,0.416
-0.911,0.051,0.415
-0.913,0.051,0.415
-0.914,0.054,0.417
-0.912,0.052,0.421
-0.912,0.052,0.421
-0.712,-0.445,-0.885
-0.712,-0.443,-0.922
-0.713,-0.438,-0.952
-0.722,-0.448,-1.004
-0.723,-0.461,-1.026
-0.731,-0.446,-1.074
-0.738,-0.438,-1.097
-0.732,-0.420,-1.118
-0.728,-0.425,-1.147
-0.713,-0.433,-1.166
-0.690,-0.447,-1.183
-0.660,-0.430,-1.191
-0.623,-0.472,-1.207
-0.599,-0.504,-1.213
-0.564,-0.516,-1.217
-0.513,-0.535,-1.226
-0.468,-0.572,-1.227
-0.448,-0.592,-1.224
-0.429,-0.617,-1.222
-0.401,-0.649,-1.205
-0.390,-0.656,-1.195
-0.376,-0.660,-1.171
-0.362,-0.664,-1.156
-0.361,-0.643,-1.124
-0.364,-0.629,-1.078
-0.371,-0.592,-1.062
-0.373,-0.569,-1.013
-0.377,-0.554,-0.959
-0.376,-0.551,-0.932
-0.373,-0.523,-0.918
-0.371,-0.518,-0.885
-0.374,-0.537,-0.851
-0.358,-0.532,-0.821
-0.362,-0.557,-0.784
-0.363,-0.561,-0.741
-0.365,-0.557,-0.714
-0.367,-0.550,-0.706
-0.366,-0.563,-0.693
-0.374,-0.562,-0.687
-0.387,-0.569,-0.684
-0.390,-0.573,-0.678
-0.391,-0.570,-0.672
-0.398,-0.569,-0.680
-0.402,-0.568,-0.698
-0.388,-0.555,-0.697
-0.383,-0.537,-0.722
-0.380,-0.552,-0.720
-0.378,-0.590,-0.719
-0.366,-0.588,-0.706
-0.366,-0.597,-0.680
-0.363,-0.582,-0.675
-0.362,-0.593,-0.643
-0.346,-0.606,-0.627
-0.330,-0.620,-0.619
-0.315,-0.649,-0.607
-0.304,-0.633,-0.595
-0.304,-0.638,-0.581
-0.292,-0.654,-0.569
-0.275,-0.658,-0.540
-0.265,-0.659,-0.521
-0.246,-0.694,-0.505
-0.229,-0.660,-0.499
-0.234,-0.664,-0.496
-0.230,-0.662,-0.487
-0.234,-0.644,-0.480
-0.208,-0.661,-0.462
-0.203,-0.649,-0.463
-0.203,-0.671,-0.463
-0.183,-0.683,-0.461
-0.180,-0.691,-0.461
-0.166,-0.672,-0.449
-0.169,-0.670,-0.450
-0.172,-0.659,-0.445
-0.177,-0.651,-0.437
-0.169,-0.648,-0.429
-0.164,-0.651,-0.427
-0.153,-0.662,-0.413
-0.150,-0.683,-0.396
-0.136,-0.691,-0.386
-0.138,-0.691,-0.383
-0.143,-0.701,-0.383
-0.146,-0.694,-0.374
-0.151,-0.687,-0.369
-0.154,-0.681,-0.368
-0.162,-0.680,-0.366
-0.174,-0.675,-0.366
-0.186,-0.656,-0.363
-0.189,-0.650,-0.351
-0.189,-0.652,-0.331
-0.194,-0.645,-0.322
-0.201,-0.657,-0.317
-0.195,-0.637,-0.302
-0.205,-0.660,-0.300
-0.208,-0.665,-0.289
-0.216,-0.660,-0.273
-0.210,-0.657,-0.269
-0.228,-0.641,-0.270
-0.237,-0.631,-0.267
-0.242,-0.629,-0.255
-0.250,-0.633,-0.253
