Time, Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z, Label
33:0:72, -1.66, 0.25, 1.56, 28.77, 70.00, 38.36
33:0:72, -2.12, 0.69, 1.07, 40.04, 71.47, 42.07
33:0:72, -1.95, 0.83, 1.02, 16.03, 116.48, 48.79
33:0:72, -1.23, 0.16, 0.47, -38.92, 67.06, 34.02
33:0:72, -0.30, -0.18, 0.19, 0.07, 112.63, 28.77
33:0:72, -0.50, -0.13, 0.40, 10.43, 104.23, 17.71
33:0:72, -0.67, -0.19, 0.71, 6.58, 103.67, -3.15
33:0:72, -0.81, -0.18, 0.51, 15.68, 99.82, -23.94
33:0:72, -0.89, -0.15, 0.33, 20.02, 112.91, -37.80
33:0:72, -0.93, -0.08, 0.35, 38.85, 115.50, -50.96
33:0:72, -0.95, 0.08, 0.49, 48.51, 120.05, -58.17
33:0:72, -1.00, 0.20, 0.40, 48.30, 125.72, -59.85
33:0:72, -1.04, 0.24, 0.33, 46.69, 122.08, -60.06
33:0:72, -0.99, 0.22, 0.33, 51.03, 119.00, -62.44
33:0:72, -0.94, 0.26, 0.36, 48.51, 119.07, -58.17
33:0:72, -0.92, 0.21, 0.33, 47.18, 117.60, -57.19
33:0:72, -0.84, 0.08, 0.34, 59.15, 141.96, -54.25
33:0:72, -0.74, 0.09, 0.36, 66.43, 136.22, -48.79
33:0:72, -0.72, 0.23, 0.35, 53.41, 134.26, -36.19
33:0:72, -0.79, 0.25, 0.35, 46.06, 132.09, -39.76
33:0:72, -0.87, 0.34, 0.30, 45.29, 126.14, -52.78
33:0:72, -0.90, 0.17, 0.30, 88.20, 131.11, -52.85
33:0:72, -0.80, 0.27, 0.24, 108.50, 123.06, -60.55
33:0:72, -0.73, 0.37, 0.14, 101.99, 107.52, -79.59
33:0:72, -0.71, 0.26, 0.04, 69.30, 92.33, -76.37
33:0:72, -0.96, 0.26, 0.07, 33.04, 84.14, -79.66
33:0:72, -1.17, 0.25, 0.20, -4.76, 91.00, -53.83
33:0:72, -1.32, 0.38, 0.31, -27.65, 110.04, -37.10
33:0:72, -1.15, 0.36, 0.23, -48.37, 104.65, -26.11
33:0:72, -0.99, 0.26, 0.22, -66.57, 92.68, -23.59
33:0:72, -0.91, 0.09, 0.22, -82.04, 84.84, -15.47
33:0:72, -0.87, 0.14, 0.22, -92.33, 82.39, -2.10
33:0:72, -0.82, 0.13, 0.19, -100.87, 94.22, 15.12
33:0:72, -0.82, 0.11, 0.15, -96.18, 92.05, 15.82
33:0:72, -0.77, -0.02, 0.11, -87.22, 84.70, 16.94
33:0:72, -0.65, -0.05, 0.21, -38.99, 83.51, 21.49
33:0:72, -0.56, 0.03, 0.18, -21.98, 97.65, 33.74
33:0:72, -0.64, 0.03, 0.18, 7.91, 106.12, 25.97
33:0:72, -0.64, -0.17, 0.25, 35.07, 115.08, 29.54
