Time, Accel_x, Accel_y, Accel_z, Gyr_x, Gyr_y, Gyr_z, Label
33:0:72, -1.14, -0.75, -0.01, -218.96, -131.11, -112.28
33:0:72, -0.65, -0.63, 0.00, -195.51, -103.81, -0.91
33:0:72, -1.11, -0.65, 0.11, -127.82, -75.88, 48.58
33:0:72, -1.18, -0.29, 0.94, -40.74, 29.05, 28.49
33:0:72, -1.44, -0.19, 0.43, -20.51, 50.89, -33.25
33:0:72, -1.24, -0.46, 0.33, -16.38, 25.41, -47.18
33:0:72, -1.04, -0.51, 0.33, -3.08, 14.49, -55.93
33:0:72, -0.95, -0.45, 0.28, 4.06, 20.93, -72.45
33:0:72, -0.98, -0.44, 0.26, -19.32, 47.67, -107.31
33:0:72, -1.20, -0.78, 0.19, -23.17, 47.11, -102.62
33:0:72, -1.10, -1.04, 0.24, 19.25, 28.00, -58.87
33:0:72, -1.04, -1.14, 0.50, 112.07, 26.18, -33.11
33:0:72, -1.18, -0.70, 0.50, 141.47, 19.67, 11.06
33:0:72, -1.45, -0.43, 0.30, 149.31, -45.08, 32.27
33:0:72, -1.54, -0.35, 0.21, 130.83, -135.24, 49.21
33:0:72, -1.42, -0.34, 0.30, 144.34, -193.20, 100.59
33:0:72, -1.35, -0.03, 0.30, 166.39, -180.04, 104.93
33:0:72, -1.27, -0.04, 0.05, 166.32, -132.79, 105.28
33:0:72, -1.13, 0.02, -0.48, 152.74, -91.21, 105.14
33:0:72, -1.44, -0.07, -0.86, 120.47, -126.21, 109.06
33:0:72, -1.48, -0.07, -0.82, 33.46, -163.66, 100.45
33:0:72, -1.36, -0.25, -0.76, -49.63, -201.53, 87.85
33:0:72, -1.01, -0.60, -1.05, -109.48, -225.89, 61.32
33:0:72, -0.89, -0.70, -0.74, -160.93, -283.92, 49.07
33:0:72, -0.68, -0.74, 0.08, -167.16, -298.20, 42.63
33:0:72, -0.56, -0.49, 0.91, -113.33, -285.95, 28.35
33:0:72, -0.44, -0.34, 1.08, -77.70, -268.03, 7.42
33:0:72, -0.46, -0.53, 0.73, -134.05, -251.93, -16.59
33:0:72, -0.44, -0.86, 0.09, -143.57, -229.88, -24.64
33:0:72, -0.38, -0.81, -0.02, -98.14, -206.15, -17.64
33:0:72, -0.47, -0.50, 0.21, -38.22, -189.42, -18.13
33:0:72, -0.55, -0.23, 0.44, 13.79, -170.24, -25.13
33:0:72, -0.61, -0.04, 0.48, 49.63, -150.15, -30.31
33:0:72, -0.55, -0.12, 0.27, 49.91, -144.97, -19.53
33:0:72, -0.47, -0.10, 0.27, 36.82, -143.99, -24.15
33:0:72, -0.61, 0.07, 0.28, 8.33, -142.24, -39.41
33:0:72, -0.40, -0.37, 0.18, -6.30, -145.81, -35.00
33:0:72, -0.28, -0.35, 0.24, 3.15, -140.91, -31.50
33:0:72, -0.36, -0.07, 0.28, 2.59, -128.03, -34.30
33:0:72, -0.19, -0.25, 0.25, -3.50, -126.56, -25.06
33:0:72, -0.14, -0.13, 0.31, -5.46, -110.95, -21.84
33:0:72, -0.13, -0.07, 0.33, -16.73, -99.89, -22.96
33:0:72, -0.24, 0.04, 0.49, -15.12, -84.49, -24.36
